,Name,Critic Rating,Critic Numbers,User Rating,User Numbers,Runtime (minutes),Genre,Studio,Box Office
110,The Choice,0.11,80,0.62,12445,100,"Drama, Romance",Lionsgate Films,"$18,730,891"
111,Eye in the Sky,0.95,201,0.83,32702,102,"Drama, Mystery & Suspense",Eone Films,"$18,704,595"
112,Bad Santa 2,0.23,128,0.34,10259,92,Comedy,Miramax/Broad Green,"$17,782,178"
113,Masterminds ,0.33,93,0.35,27305,90,Comedy,Relativity Media,"$17,368,022"
114,Norm of the North,0.09,67,0.22,7775,86,"Action & Adventure, Animation, Comedy",Lionsgate,"$17,062,499"
115,The Birth of a Nation,0.72,250,0.71,15922,119,Drama,Fox Searchlight Pictures,"$15,861,566"
116,Eddie the Eagle,0.8,188,0.82,22696,105,Drama,20th Century Fox,"$15,789,389"
117,The Infiltrator,0.7,175,0.71,18983,127,Drama,Broad Green Pictures,"$15,436,808"
118,A Beautiful Planet,1.0,13,0.8,8726,45,Documentary,Walt Disney,"$15,383,248"
119,Keeping Up with the Joneses,0.19,117,0.37,14059,101,Comedy,20th Century Fox,"$14,904,426"
120,Criminal ,0.3,132,0.47,20528,113,"Action & Adventure, Drama, Mystery & Suspense",Summit Entertainment,"$14,708,696"
121,"Hello, My Name is Doris",0.83,117,0.76,16086,95,Drama,Red Crown Productions,"$14,444,999"
122,The Edge of Seventeen,0.95,191,0.83,26867,98,"Comedy, Drama",STX Entertainment,"$14,431,633"
123,Love & Friendship,-,-,-,-,-,-,-,"$14,016,568"
124,Jackie,0.87,328,0.6,28203,95,Drama,Fox Searchlight Pictures,"$13,960,394"
125,Hillary's America: The Secret History of the Democratic Party,-,-,-,-,-,-,-,"$13,099,931"
126,Triple 9,0.53,171,0.42,19591,116,"Action & Adventure, Drama",Open Road Films,"$12,639,297"
127,The Light Between Oceans,0.61,217,0.61,13605,132,"Drama, Romance",Dreamworks Pictures,"$12,545,979"
128,Dangal,0.92,13,0.94,2173,155,"Art House & International, Drama, Sports & Fitness",Aamir Khan Productions,"$12,391,761"
129,Fifty Shades of Black,0.07,46,0.19,11098,93,Comedy,Open Road Films,"$11,686,940"
130,No Manches Frida,0.13,8,0.75,2698,100,Comedy,Constantin Film Produktion,"$11,528,613"
131,Cafe Society,0.7,245,0.56,13609,85,"Comedy, Romance",Perdido Productions,"$11,103,205"
132,Pride and Prejudice and Zombies,0.44,176,0.45,28085,107,"Comedy, Horror, Romance",Sony Pictures,"$10,938,134"
133,The Darkness,-,-,-,-,-,-,-,"$10,753,574"
134,Nocturnal Animals,0.73,276,0.73,29643,115,"Drama, Mystery & Suspense",Focus Features,"$10,663,357"
135,Live By Night,-,-,-,-,-,-,-,"$10,378,555"
136,The Perfect Match,0.25,16,0.44,4135,95,Comedy,Jorva Entertainment Productions,"$9,669,521"
137,Popstar: Never Stop Never Stopping,0.78,162,0.64,17811,86,"Comedy, Musical & Performing Arts",Universal Pictures,"$9,639,125"
138,Hardcore Henry,0.5,136,0.54,18145,90,"Action & Adventure, Science Fiction & Fantasy",Bazelevs Production,"$9,252,038"
139,Meet the Blacks,0.11,9,0.73,6850,94,Comedy,Hidden Empire Film Group,"$9,097,072"
140,Queen of Katwe,0.93,171,0.87,9744,124,"Drama, Kids & Family",Walt Disney Studios,"$8,874,389"
141,Ratchet & Clank,0.18,76,0.42,9554,94,"Action & Adventure, Animation, Comedy",Focus Features,"$8,821,329"
142,The Lobster ,0.87,237,0.64,33591,118,"Comedy, Cult Movies, Drama, Science Fiction & Fantasy",A24 Films,"$8,700,374"
143,The Wild Life ,0.16,57,0.28,2972,90,"Action & Adventure, Animation, Comedy",StudioCanal,"$8,005,586"
144,Loving,-,-,-,-,-,-,-,"$7,751,969"
145,Silence ,-,-,-,-,-,-,-,"$7,100,177"
146,Shut In,0.1,41,0.22,5077,91,Mystery & Suspense,EuropaCorp,"$6,900,335"
147,The Brothers Grimsby,0.38,136,0.41,14880,83,Comedy,Big Talk Productions,"$6,874,837"
148,The Young Messiah,0.46,37,0.65,5936,103,Drama,Focus Features,"$6,490,401"
149,Southside with You,0.91,152,0.72,9492,84,"Drama, Romance",Miramax and Roadside Attractions,"$6,304,223"
150,Sultan,0.89,9,0.77,1567,143,Drama,Yash Raj Films,"$6,200,000"
151,Captain Fantastic,0.82,208,0.85,21836,119,Drama,Electric City Entertainment,"$5,879,736"
152,20th Century Women,-,-,-,-,-,-,-,"$5,664,764"
153,Hunt for the Wilderpeople,0.96,185,0.91,24149,101,"Action & Adventure, Comedy",Piki Films,"$5,205,468"
154,Bleed for This,0.7,136,0.69,8770,116,"Drama, Sports & Fitness",Open Road Films,"$5,083,906"
155,Incarnate,0.18,33,0.24,3294,-,"Drama, Horror, Science Fiction & Fantasy",High Top Releasing,"$4,799,774"
156,Absolutely Fabulous: The Movie,0.59,146,0.41,7543,86,Comedy,DJ Films,"$4,772,155"
157,Hands of Stone,0.44,105,0.52,5249,105,"Action & Adventure, Drama",Fuego Films,"$4,712,792"
158,Don't Think Twice,0.98,132,0.69,19135,92,Comedy,The Film Arcade,"$4,417,667"
159,The Meddler,0.84,140,0.56,9193,100,"Comedy, Drama",Anonymous Content,"$4,267,218"
160,Ae Dil Hai Mushkil,0.54,13,0.43,975,158,"Drama, Musical & Performing Arts, Romance",Dharma Productions,"$4,264,983"
161,A Hologram for the King,0.73,143,0.55,10194,90,Drama,Roadside Attractions,"$4,212,494"
162,Swiss Army Man,0.7,193,0.72,16639,95,Drama,Blackbird Films,"$4,210,454"
163,Denial,0.83,162,0.71,9268,110,Drama,Participant Media,"$4,073,489"
164,Morgan,0.37,146,0.3,6699,92,"Drama, Horror, Science Fiction & Fantasy",Scott Free Films,"$3,915,251"
165,Kabali,0.7,10,0.64,432,152,"Action & Adventure, Drama",Cinegalaxy,"$3,903,095"
166,The Man Who Knew Infinity,0.62,124,0.71,10838,108,"Art House & International, Drama",Edward R. Pressman Film Corporation,"$3,866,794"
167,Where to Invade Next,0.78,186,0.77,11482,110,Documentary,Dog Eat Dog Films,"$3,827,261"
168,Max Steel,0.0,20,0.48,6760,100,"Action & Adventure, Comedy, Science Fiction & Fantasy",Open Road Films,"$3,818,664"
169,Batman: The Killing Joke,0.42,38,0.46,9560,72,"Action & Adventure, Animation, Drama",The Answer Studio,"$3,775,000"
170,A Monster Calls,-,-,-,-,-,-,-,"$3,740,823"
171,Midnight Special,0.83,219,0.67,22128,111,"Drama, Science Fiction & Fantasy",Warner Bros. Pictures,"$3,712,282"
172,Rules Don't Apply,0.56,173,0.33,3531,-,"Comedy, Drama, Romance",20th Century Fox,"$3,652,206"
173,Miss Sloane,0.76,183,0.71,9643,132,Mystery & Suspense,EuropaCorp,"$3,500,605"
174,A Man Called Ove,0.9,111,0.87,9667,116,"Art House & International, Comedy, Drama",Tre Vänner Produktion AB,"$3,479,315"
175,Indignation,0.82,128,0.74,8790,110,Drama,Likely Story,"$3,401,155"
176,Everybody Wants Some!!,0.86,221,0.68,15484,117,Comedy,Paramount Pictures,"$3,400,278"
177,Maggie's Plan,0.86,172,0.52,8049,98,"Comedy, Romance",Rachael Horovitz Productions,"$3,351,735"
178,Sing Street,0.95,196,0.92,16663,106,"Art House & International, Drama, Musical & Performing Arts",Likely Story,"$3,237,118"
179,The Mermaid ,0.94,34,0.6,3977,100,"Comedy, Science Fiction & Fantasy",Sony Pictures,"$3,232,685"
180,Green Room,0.9,221,0.75,21277,94,Horror,A24 Films,"$3,220,371"
181,The Eagle Huntress,0.93,118,0.86,7925,87,Documentary,Kissiki Film,"$3,169,351"
182,Our Kind of Traitor,0.72,138,0.5,7226,107,"Drama, Mystery & Suspense",Film4,"$3,153,157"
183,Compadres,0.38,16,0.52,1082,110,"Action & Adventure, Comedy",Draco Films,"$3,127,773"
184,The Other Side of the Door,0.37,35,0.29,4035,96,"Horror, Mystery & Suspense",-,"$3,000,342"
185,Anthropoid,0.66,102,0.7,6483,120,"Drama, Mystery & Suspense",LD Entertainment,"$2,964,845"
186,The Beatles: Eight Days a Week - The Touring Years,0.96,97,0.89,7946,-,Documentary,Apple Corps,"$2,930,414"
187,2016 Oscar Nominated Short Films,-,-,0.87,1958,-,,-,"$2,816,816"
188,Ip Man 3,0.78,50,0.72,11517,105,"Action & Adventure, Art House & International, Drama",Super Hero Films,"$2,679,437"
189,Miles Ahead,0.73,173,0.57,6563,100,"Drama, Musical & Performing Arts, Special Interest",Crescendo Productions,"$2,610,896"
190,Kapoor & Sons - Since 1921,1.0,8,0.82,1151,150,"Comedy, Drama, Romance",Dharma Productions,"$2,607,036"
191,The Disappointments Room,0.0,23,0.17,3388,100,"Horror, Mystery & Suspense",Relativity Studios,"$2,423,468"
192,Hillsong - Let Hope Rise,0.6,10,0.79,4411,103,"Documentary, Kids & Family",PureFlix,"$2,394,386"
193,Dear Zindagi,0.9,10,0.73,674,150,Comedy,Dharma Productions,"$2,376,479"
194,Elle,0.91,228,0.72,11781,130,"Art House & International, Drama, Mystery & Suspense",SBS Productions,"$2,341,534"
195,A Aa,-,-,0.4,10,152,Comedy,Haarika & Hassine Creations,"$2,313,043"
196,Fan,0.74,309,0.79,86872,132,"Action & Adventure, Kids & Family, Science Fiction & Fantasy",Warner Bros. Pictures,"$2,300,000"
197,Paterson,0.96,240,0.71,15745,115,"Comedy, Drama",K5 International,"$2,152,738"
198,Train to Busan,0.96,95,0.88,11533,118,"Action & Adventure, Art House & International, Horror, Mystery & Suspense",Redpeter Film,"$2,129,768"
199,I'm Not Ashamed,0.22,9,0.83,2581,112,Drama,Visible Pictures,"$2,082,980"
200,A Bigger Splash,0.9,175,0.57,8441,124,"Art House & International, Drama, Mystery & Suspense, Special Interest",StudioCanal,"$2,024,099"
201,The Dressmaker,0.55,128,0.66,9845,118,Drama,Amazon Studios & Broad Green Pictures,"$2,022,115"
202,The Handmaiden,0.95,200,0.91,10398,145,"Art House & International, Drama, Romance",CJ Entertainment,"$2,006,788"
203,Desierto,0.61,83,0.46,4520,90,"Action & Adventure, Drama, Mystery & Suspense",Itaca Films,"$2,002,036"
204,Greater,0.67,15,0.85,3096,130,"Drama, Sports & Fitness",-,"$2,000,093"
205,Demolition,0.53,198,0.53,7960,100,"Comedy, Drama",Fox Searchlight,"$1,978,592"
206,Shin Godzilla,0.84,64,0.73,6463,120,"Action & Adventure, Drama, Science Fiction & Fantasy",Toho Company,"$1,918,403"
207,Purple Rain ,-,-,-,-,-,-,-,"$1,868,075"
208,M.S. Dhoni: The Untold Story,0.75,8,0.74,597,196,Drama,Inspired Entertainment,"$1,801,550"
209,Busco Novio Para Mi Mujer,0.78,9,0.68,1037,92,Comedy,Azucar Films,"$1,741,889"
210,Billy Lynn's Long Halftime Walk,-,-,-,-,-,-,-,"$1,738,477"
211,Harry Potter IMAX Marathon,-,-,-,-,-,-,-,"$1,729,226"
212,"To Joey, with Love",-,-,0.96,214,90,-,Hickory Films,"$1,709,073"
213,Weiner,0.75,110,0.42,3408,90,Comedy,Annapurna Pictures,"$1,676,108"
214,The Comedian,0.14,7,0.33,24,92,Comedy,-,"$1,659,002"
215,I Saw the Light,0.18,149,0.35,3608,123,"Drama, Musical & Performing Arts",Sony Pictures Classics,"$1,646,788"
216,Equity,0.82,91,0.52,4780,100,Drama,Broad Street Pictures,"$1,605,463"
217,Neerja,1.0,9,0.83,1192,122,Drama,Bling Unplugged,"$1,585,687"
218,Jane Got a Gun,0.41,80,0.37,14017,97,"Action & Adventure, Drama, Western",Relativity Media,"$1,513,793"
219,Priceless ,-,-,0.76,2495,97,"Drama, Romance",Radiate Films,"$1,499,605"
220,Julieta,0.83,188,0.74,4834,96,"Art House & International, Drama",El Deseo,"$1,490,948"
221,Toni Erdmann,0.93,218,0.73,6156,162,"Art House & International, Drama",Sony Pictures Classics,"$1,479,387"
222,Genius,0.52,107,0.45,2855,104,Drama,Riverstone Pictures,"$1,361,045"
223,The Little Prince,0.93,95,0.84,14050,106,"Animation, Science Fiction & Fantasy",Netflix,"$1,339,152"
224,The Neon Demon,0.57,240,0.51,8850,110,Horror,Space Rocket Nation,"$1,333,124"
225,Embrace of the Serpent,0.96,139,0.84,8803,123,"Action & Adventure, Art House & International",Buffalo Films,"$1,329,249"
226,Housefull 3,0.29,7,0.51,464,-,"Art House & International, Comedy, Romance",-,"$1,326,999"
227,Mohenjo Daro,0.38,13,0.44,410,-,"Action & Adventure, Romance",UTV Communications,"$1,264,339"
228,Lazer Team,0.56,34,0.69,4259,102,"Comedy, Science Fiction & Fantasy",Rooster Teeth Productions,"$1,186,426"
229,The Music of Strangers,0.84,56,0.84,2271,96,Documentary,Tremolo Productions,"$1,176,781"
230,Vaxxed: From Cover-Up to Catastrophe,0.38,13,0.84,1654,91,Documentary,Del Bigtree Production,"$1,163,265"
231,Dough,0.54,56,0.57,1357,94,"Comedy, Drama",Docler Entertainment,"$1,148,304"
232,Wazir,0.71,7,0.53,482,102,Drama,Rajkumar Hirani Films,"$1,124,045"
233,Papa: Hemingway in Cuba,0.12,42,0.53,1252,109,Drama,Yari Film Group,"$1,115,615"
234,The Insanity of God,-,-,0.84,120,-,Documentary,-,"$1,102,525"
235,Certain Women,0.91,177,0.5,5392,107,Drama,Film Science,"$1,087,585"
236,Rustom,0.4,10,0.54,253,-,"Mystery & Suspense, Romance",-,"$1,087,419"
237,The Innocents,0.94,109,0.86,3053,115,Drama,France 2 Cinéma,"$1,065,665"
238,Elvis & Nixon,0.77,146,0.57,5996,86,Comedy,Amazon Studios,"$1,055,287"
239,Operation Chromite,0.33,18,0.5,542,115,Drama,Taewon Entertainment,"$1,023,348"
240,The Hollars,0.45,91,0.59,3780,88,"Comedy, Drama, Kids & Family",Sony Pictures Classics,"$1,016,985"
241,Baar Baar Dekho,0.43,7,0.49,276,-,"Art House & International, Drama, Romance",Junglee Pictures,"$981,947"
242,Dark Horse ,0.97,63,0.77,6017,124,"Art House & International, Drama",Southern Light Films,"$940,715"
243,Neruda,0.93,145,0.69,5043,107,Drama,The Orchard,"$939,101"
244,Gentleman,-,-,-,-,-,-,-,"$897,876"
245,Believe ,0.33,6,0.7,711,120,Drama,Power of 3,"$890,303"
246,Ki & Ka,-,-,-,-,-,-,-,"$857,986"
247,Premam,-,-,0.87,194,156,"Art House & International, Comedy, Romance",Blue Sky Cinema,"$828,278"
248,Dishoom,0.56,9,0.49,301,124,,Nadiadwala Grandson Entertainment,"$812,737"
249,Operation Mekong,0.78,9,0.6,768,124,"Action & Adventure, Drama",Bona Film Group Limited,"$800,012"
250,The Wailing ,0.99,79,0.81,6698,156,"Art House & International, Drama, Mystery & Suspense",-,"$786,633"
251,31,0.49,41,0.35,4426,103,Horror,Bow and Arrow Entertainment,"$779,820"
252,Chongqing Hot Pot,-,-,-,-,-,-,-,"$779,818"
253,The Polar Express ,-,-,-,-,-,-,-,"$765,154"
254,I Belonged to You,-,-,0.54,287,111,"Art House & International, Romance",-,"$744,541"
255,Saturday's Warrior,-,-,0.7,462,119,-,-,"$744,046"
256,The Monkey King 2 in 3D,-,-,-,-,-,-,-,"$709,982"
257,Little Men ,0.96,137,0.64,7387,85,Drama,Race Point Films,"$702,537"
