,Name,Critic Rating,Critic Numbers,User Rating,User Numbers,Runtime (minutes),Genre,Studio,Box Office
576,Never,-,-,-,-,-,-,-,"$20,431"
577,New World Order,-,-,-,21,117,"Action & Adventure, Drama",-,"$20,205"
578,Love Me True,-,-,-,7,85,Comedy,-,"$20,100"
579,"No Pay, Nudity",0.71,7,0.23,104,92,"Comedy, Drama",A Day in the Life Films,"$20,017"
580,The Romans,-,-,-,14,98,"Action & Adventure, Drama",-,"$19,705"
581,Art Bastard,0.87,23,0.69,272,84,Documentary,Concannon Productions,"$19,600"
582,Revelation: Dawn of Global Government,-,-,-,14,146,Documentary,Heartland Pictures,"$19,107"
583,Search Engines,-,-,-,26,95,"Comedy, Drama",-,"$19,033"
584,Ktown Cowboys,0.33,9,0.93,83,83,-,Musa Productions,"$18,863"
585,Seoul Searching,0.75,16,0.84,201,105,"Comedy, Drama",Wonder Vision,"$18,654"
586,The Channel,-,-,0.14,13,95,"Drama, Horror, Mystery & Suspense",-,"$18,319"
587,The Lion in Winter ,-,-,-,-,-,-,-,"$18,177"
588,Coming Through the Rye,0.71,21,0.64,342,97,Drama,Red Hat Films,"$18,137"
589,Peter and the Farm,1.0,27,0.72,299,91,Documentary,Cinema Conservancy,"$18,123"
590,Harry Benson: Shoot First,0.85,26,0.46,194,87,Documentary,Quixotic Endeavors,"$18,092"
591,A Bit of Bad Luck,-,-,0.5,31,86,"Comedy, Drama, Mystery & Suspense",Indican Pictures,"$18,089"
592,Wildflower ,-,-,0.31,63,92,Drama,-,"$18,062"
593,Holy Hell,0.74,35,0.73,468,103,Documentary,Whitewater Films,"$18,051"
594,I Knew Her Well,-,-,-,-,-,-,-,"$18,010"
595,Men Go To Battle,0.69,26,0.46,120,98,"Drama, Western",Film Movement,"$18,006"
596,How He Fell in Love,0.38,13,0.58,112,107,"Drama, Romance",Ibid Filmworks,"$17,575"
597,Streit's: Matzo and the American Dream,-,-,-,-,-,-,-,"$17,506"
598,Landfill Harmonic,1.0,8,0.87,76,95,Documentary,Meetai Films,"$17,205"
599,Always Shine,0.9,42,0.52,646,85,"Drama, Mystery & Suspense",Little Teeth Pictures,"$17,102"
